sweep_type,experiment,model,parameter_name,parameter_value,seed,accuracy,error_rate,latency,inference_steps,configuration
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,58,1.0,0.0,17.147,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 58, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,7977,1.0,0.0,10.297,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 7977, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,15896,1.0,0.0,10.557,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 15896, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,23815,1.0,0.0,10.354,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 23815, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,31734,1.0,0.0,6.813,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 31734, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,39653,1.0,0.0,1.743,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 39653, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,47572,1.0,0.0,2.873,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 47572, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,55491,1.0,0.0,3.073,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 55491, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,63410,1.0,0.0,2.567,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 63410, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,71329,1.0,0.0,2.508,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 71329, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,79248,1.0,0.0,2.297,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 79248, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,87167,1.0,0.0,2.334,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 87167, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,95086,1.0,0.0,2.423,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 95086, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,103005,1.0,0.0,2.794,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 103005, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,110924,1.0,0.0,2.478,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 110924, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,118843,1.0,0.0,2.415,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 118843, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,126762,1.0,0.0,2.356,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 126762, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,134681,1.0,0.0,2.527,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 134681, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,142600,1.0,0.0,2.33,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 142600, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,150519,1.0,0.0,2.397,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 150519, 'sequence_length': 16, 'num_items': 4}"
