sweep_type,experiment,model,model_label,parameter_name,parameter_value,n_trials,mean_accuracy,std_accuracy,ci95_accuracy_low,ci95_accuracy_high,mean_error_rate,std_error_rate,mean_latency_ms,std_latency_ms,median_latency_ms,p95_latency_ms,mean_inference_steps
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,1,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,7.959,5.491,4.602,16.717,1.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,2,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,7.722,5.258,4.816,16.976,2.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,3,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,7.603,5.073,5.063,16.878,3.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,4,30,0.2333,0.4302,0.0794,0.3873,0.7667,0.4302,7.916,5.17,5.662,18.191,4.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,6,30,0.2,0.4068,0.0544,0.3456,0.8,0.4068,8.179,5.589,5.814,19.805,6.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,8,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,8.638,6.57,5.2,21.546,8.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,12,30,0.1667,0.379,0.031,0.3023,0.8333,0.379,7.923,5.513,6.168,22.073,12.0
inference_effort,inference_recovery,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],inference_budget,16,30,0.1667,0.379,0.031,0.3023,0.8333,0.379,8.721,6.19,6.298,24.626,16.0
inference_effort,inference_recovery,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],inference_budget,1,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,7.073,4.645,4.193,15.101,1.0
inference_effort,inference_recovery,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],inference_budget,2,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,6.086,4.358,4.164,15.461,1.0
inference_effort,inference_recovery,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],inference_budget,3,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,4.976,2.558,4.148,11.287,1.0
inference_effort,inference_recovery,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],inference_budget,4,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,8.758,4.883,11.234,14.145,1.0
