sweep_type,experiment,model,parameter_name,parameter_value,seed,accuracy,error_rate,latency,inference_steps,configuration
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,58,1.0,0.0,6.381,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 58, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,7977,1.0,0.0,3.387,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 7977, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,15896,1.0,0.0,3.128,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 15896, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,23815,1.0,0.0,3.193,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 23815, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,31734,1.0,0.0,2.974,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 31734, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,39653,1.0,0.0,2.971,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 39653, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,47572,1.0,0.0,3.052,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 47572, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,55491,1.0,0.0,3.023,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 55491, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,63410,1.0,0.0,3.03,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 63410, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,71329,1.0,0.0,2.898,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 71329, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,79248,1.0,0.0,2.999,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 79248, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,87167,1.0,0.0,2.923,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 87167, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,95086,1.0,0.0,2.935,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 95086, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,103005,1.0,0.0,3.114,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 103005, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,110924,1.0,0.0,2.977,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 110924, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,118843,1.0,0.0,2.906,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 118843, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,126762,1.0,0.0,2.907,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 126762, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,134681,1.0,0.0,2.874,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 134681, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,142600,1.0,0.0,3.014,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 142600, 'sequence_length': 16, 'num_items': 4}"
sequence_length,long_horizon_recall,full_history_reference_baseline,sequence_length,16,150519,1.0,0.0,3.09,1,"{'model_name': 'full_history_reference_baseline', 'state_dim': 32, 'seed': 150519, 'sequence_length': 16, 'num_items': 4}"
